run_id,condition_id,framework,retriever_kind,case_id,active_release,recall_at_k,mrr,forbidden_source_violation,citation_source_correctness,citation_span_correctness,citation_support,release_consistency,required_phrase_coverage,total_latency_ms,latency_capture_release_ms,latency_citation_ms,latency_generate_ms,latency_pack_ms,latency_release_filter_ms,latency_rerank_ms,latency_retrieve_ms,citation_count,candidate_count,build_manifest_sha256,artifact_dir
task6-20260824T052921,llamaindex:bm25,llamaindex,bm25,multi_fact_wifi,v1,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,2237.845665,0.000208,0.3875,2225.710041,0.020125,0.012666,0.01025,11.704875,1,5,26df1d81c19a131666c78bbe495f81d88d0947f4895d418c5cc4715d1653ab9e,artifacts/raw/task6-20260824T052921/llamaindex/bm25/case-multi_fact_wifi
task6-20260824T052921,llamaindex:bm25,llamaindex,bm25,exact_identifier_ap50,v1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1051.516252,0.001209,0.038,1048.36,0.008417,0.00575,0.004084,3.098792,1,5,26df1d81c19a131666c78bbe495f81d88d0947f4895d418c5cc4715d1653ab9e,artifacts/raw/task6-20260824T052921/llamaindex/bm25/case-exact_identifier_ap50
task6-20260824T052921,llamaindex:bm25,llamaindex,bm25,semantic_travel_connectivity,v1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,803.52121,0.000292,0.026125,800.293792,0.007667,0.005292,0.003667,3.184375,1,5,26df1d81c19a131666c78bbe495f81d88d0947f4895d418c5cc4715d1653ab9e,artifacts/raw/task6-20260824T052921/llamaindex/bm25/case-semantic_travel_connectivity
task6-20260824T052921,llamaindex:bm25,llamaindex,bm25,obsolete_source_trap,v1,1.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1047.662584,0.00025,0.032042,1045.051208,0.00775,0.005125,0.002875,2.563334,1,5,26df1d81c19a131666c78bbe495f81d88d0947f4895d418c5cc4715d1653ab9e,artifacts/raw/task6-20260824T052921/llamaindex/bm25/case-obsolete_source_trap
task6-20260824T052921,llamaindex:bm25,llamaindex,bm25,version_change_wifi_limit,v2,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1044.493291,0.000541,0.031458,1041.668666,0.00775,0.008292,0.005667,2.770917,1,5,26df1d81c19a131666c78bbe495f81d88d0947f4895d418c5cc4715d1653ab9e,artifacts/raw/task6-20260824T052921/llamaindex/bm25/case-version_change_wifi_limit
task6-20260824T052921,llamaindex:ollama_dense,llamaindex,ollama_dense,multi_fact_wifi,v1,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,3039.856501,0.000208,0.022125,3017.013791,0.019042,0.016042,0.007459,22.777834,2,5,26df1d81c19a131666c78bbe495f81d88d0947f4895d418c5cc4715d1653ab9e,artifacts/raw/task6-20260824T052921/llamaindex/ollama_dense/case-multi_fact_wifi
task6-20260824T052921,llamaindex:ollama_dense,llamaindex,ollama_dense,exact_identifier_ap50,v1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1502.152626,0.000208,0.027417,1481.52875,0.016792,0.009917,0.005833,20.563709,1,5,26df1d81c19a131666c78bbe495f81d88d0947f4895d418c5cc4715d1653ab9e,artifacts/raw/task6-20260824T052921/llamaindex/ollama_dense/case-exact_identifier_ap50
task6-20260824T052921,llamaindex:ollama_dense,llamaindex,ollama_dense,semantic_travel_connectivity,v1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,869.733542,0.000292,0.028333,848.773292,0.020083,0.015375,0.006167,20.89,1,5,26df1d81c19a131666c78bbe495f81d88d0947f4895d418c5cc4715d1653ab9e,artifacts/raw/task6-20260824T052921/llamaindex/ollama_dense/case-semantic_travel_connectivity
task6-20260824T052921,llamaindex:ollama_dense,llamaindex,ollama_dense,obsolete_source_trap,v1,1.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,924.155792,0.00025,0.036791,903.217,0.015042,0.011,0.006292,20.869417,1,5,26df1d81c19a131666c78bbe495f81d88d0947f4895d418c5cc4715d1653ab9e,artifacts/raw/task6-20260824T052921/llamaindex/ollama_dense/case-obsolete_source_trap
task6-20260824T052921,llamaindex:ollama_dense,llamaindex,ollama_dense,version_change_wifi_limit,v2,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1064.778711,0.000334,0.007959,1044.013834,0.018417,0.004625,0.002209,20.731333,1,5,26df1d81c19a131666c78bbe495f81d88d0947f4895d418c5cc4715d1653ab9e,artifacts/raw/task6-20260824T052921/llamaindex/ollama_dense/case-version_change_wifi_limit
task6-20260824T052921,haystack:bm25,haystack,bm25,multi_fact_wifi,v1,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1845.252293,0.000208,0.018,1803.402959,0.009709,0.004334,0.003125,41.813958,1,5,b087ab8eff190f0d14565a265a0d958c812a5f6c20d2810e6801b6f01f94af4b,artifacts/raw/task6-20260824T052921/haystack/bm25/case-multi_fact_wifi
